            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=22368.672961285167 | temps=31.692134363998775******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=21558.93459890558 | temps=7.680913660995429******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=22299.06042909417 | temps=26.79895011299959******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=22421.318641045007 | temps=6.218343494001601******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=22931.324400785426 | temps=6.381622423999943******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=21701.7606377033 | temps=4.164265858998988******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=24125.759904391925 | temps=4.587536273997102******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=22232.821177190992 | temps=4.3135940070060315******************************************************************************************************************



            sol initiale = PPV1 | instance = pr439.tsp | cout_opt=22721.942411487067 | temps=3.8422845020031673******************************************************************************************************************



